farm_id,region,crop_type,soil_moisture,soil_ph,temperature,rainfall,humidity,sunlight_hours,irrigation_method,yield_kg,ndvi,ndwi,fertilizer_type,pesticide_used,crop_disease_status
1,East India,Wheat,45.52221214354434,5.60294336273834,23.931547919507366,130.16190211050076,82.01982273207021,9.150718915614434,Drip,385.5562187034672,0.714962462443734,0.2868719209970367,NPK,Yes,Healthy
2,Central India,Cotton,19.382557996543305,6.296979617320704,29.79255323652438,44.5430762551802,72.17356948898231,8.31947656062479,Manual,277.44787000287585,0.6061270427556084,0.1526998335929286,Urea,Occasional,Healthy
3,Central India,Maize,38.955982190121325,5.8740931833416905,24.86341225008798,83.13729878443992,68.84968277251355,9.110336522530613,Sprinkler,343.7774044561816,0.6816385248047283,0.3016503951613894,Compost,Yes,Healthy
4,Central India,Cotton,27.66775444473871,6.239275771261959,28.413215651055648,29.96395310735832,56.79494220116979,9.283705918374627,Manual,280.6423505860006,0.6163684421087885,0.1720888265507887,Urea,Occasional,Diseased
5,Central India,Sugarcane,67.06407911146945,6.376424692893887,31.219144311749048,193.1575941807853,71.28216246969266,8.905650912783116,Flood,467.5627313434578,0.8785515036746342,0.4998484830618107,NPK,Yes,Diseased
6,East India,Wheat,48.959398186530656,5.804639135495345,22.903508390669035,122.97166839872702,59.82407785771012,6.547962285518777,Drip,372.9741028913702,0.7549026553605014,0.3197039046830794,NPK,Yes,Healthy
7,West India,Sugarcane,67.24804969718558,5.82988043192573,30.37705969533071,210.0368016234302,81.83558969933497,7.060054388022925,Flood,464.6943940893117,0.8312893377656959,0.4929440530475046,NPK,Yes,Diseased
8,South India,Wheat,47.33593191563601,7.261405269813645,22.15685811470084,110.08312535385627,53.14367543244704,8.26696033476963,Drip,365.4676763466899,0.7620453322191539,0.3399246448239545,NPK,Yes,Healthy
9,East India,Wheat,46.7403145530153,7.066606015196653,22.230779417947588,126.69345118795388,77.90051131044532,10.193833360106472,Drip,362.7962885085888,0.7377857646830331,0.3178768291666829,NPK,Yes,Healthy
10,East India,Rice,74.55264030562255,6.671482508804903,30.77605860446629,190.7939298001458,68.13064874538713,6.780941321475819,Flood,423.0203007702357,0.851641641073661,0.4527789403352923,Organic,No,Diseased
11,Central India,Sugarcane,65.30526472111268,6.508713131115203,30.73844156306151,213.770163588342,79.20297993826502,7.6488272381118225,Flood,463.156839220171,0.8917906639850914,0.4774474772016743,NPK,Yes,Diseased
12,Central India,Sugarcane,69.4846479050468,7.34252027074694,30.23775491350304,201.0499816411155,61.571044454070815,10.332418384852655,Flood,464.473000440491,0.9023307071002796,0.5181803949365015,NPK,Yes,Diseased
13,West India,Cotton,27.01510762351407,7.304036654699546,29.618046570287653,48.619454413486864,84.04913464590904,6.49928493201982,Manual,273.1766380163081,0.5640059844991742,0.1810900710045963,Urea,Occasional,Healthy
14,South India,Maize,39.35653930332472,6.579183930067907,24.8567183091862,94.85410193140694,79.23244384834102,7.989455538016526,Sprinkler,357.6596347372076,0.6893368840623265,0.267907078415776,Compost,Yes,Healthy
15,South India,Sugarcane,72.776491976755,6.894101082785655,31.00195382616358,213.1196637505085,72.14538027297992,6.571447589322873,Flood,445.6143479963642,0.8657944968168255,0.4785078109396735,NPK,Yes,Diseased
16,East India,Maize,40.55449428535522,7.0063208754773765,24.899704826838512,82.80314531614121,79.34184931096317,7.53300620788535,Sprinkler,353.9990431792386,0.7192445493941648,0.2720623154930762,Compost,Yes,Healthy
17,East India,Wheat,43.122771418727616,6.317874758244428,22.71687950917196,129.1228833018852,61.36931191055725,6.687913744537632,Drip,381.41375639257,0.7343178724264848,0.3274144342809272,NPK,Yes,Healthy
18,West India,Rice,77.47627811321424,7.161533545275167,29.615018614640245,174.51809909269286,67.7761553517081,10.72652190168805,Flood,416.814906138834,0.8556930104723893,0.4343186819880879,Organic,No,Diseased
19,North India,Rice,69.40292547926171,7.303993232608044,29.47220817229644,208.82674329941065,73.50877736131984,8.526579471227901,Flood,425.1574225068877,0.8262426632350517,0.4650579651201521,Organic,No,Diseased
20,North India,Wheat,45.29104968456155,7.032876614159948,23.99672891263319,131.85766071115455,87.1383111235866,10.303793706144164,Drip,378.5628779576081,0.7369107990209584,0.3579539147685098,NPK,Yes,Healthy
21,North India,Cotton,27.43276911976549,5.831162649114928,27.99718245053768,33.138149778580726,76.2180699340645,6.688768054863544,Manual,283.6983411199164,0.5931365471044145,0.1193546803969484,Urea,Occasional,Healthy
22,East India,Maize,36.57460379684763,6.2479929985557305,25.80099998727897,106.56782392528116,80.82321849662983,9.204432261967437,Sprinkler,349.42304667470114,0.6937836526432277,0.2699368666123124,Compost,Yes,Healthy
23,West India,Sugarcane,70.41625307108842,7.553386787671721,30.600946632186247,205.0408171305508,69.27168036787373,10.22316704469542,Flood,458.1495907062966,0.8672955357039617,0.4858471590248018,NPK,Yes,Diseased
24,North India,Sugarcane,71.22665672878796,6.20063799684701,31.75325603997941,221.27319605817684,52.74771815760742,9.80863194498972,Flood,442.4738768907499,0.8658637987373171,0.5128433443531539,NPK,Yes,Diseased
25,North India,Rice,75.02593151136048,6.458932355583807,31.66547594108481,196.3230759311174,88.40175924039383,10.70308826233311,Flood,425.2361414172862,0.7888294851064059,0.4542902556607998,Organic,No,Diseased
26,Central India,Cotton,26.13937925006021,7.7772714541437615,28.10988593304652,59.58848616918456,79.2981645042729,8.550066147641378,Manual,276.1577778789918,0.581352515944447,0.1664735503111508,Urea,Occasional,Healthy
27,East India,Maize,40.29613157421047,7.200634498588399,26.17975827336532,94.08991344579478,80.21799385559662,8.222617985510777,Sprinkler,360.9436426496214,0.6911651183013824,0.2779292524115272,Compost,Yes,Healthy
28,East India,Rice,73.95678180051047,7.21597054936209,30.882573768864983,198.99241098575456,76.0063876180682,9.782697888503543,Flood,414.6404504204932,0.8624877883133941,0.4525761591577766,Organic,No,Diseased
29,North India,Rice,79.11864177013915,6.660177155381508,29.10984706930673,183.64686086040035,70.51885347983675,7.767733489480721,Flood,397.23602177269936,0.8363909718543914,0.4180532065217243,Organic,No,Diseased
30,Central India,Maize,35.983301004506906,7.2996602157618975,24.700846436499635,101.8645631015264,59.871547865697984,9.159343731345524,Sprinkler,340.3008387598877,0.695402629572391,0.2569020168634023,Compost,Yes,Healthy
31,Central India,Cotton,24.15042951976265,6.694080418382597,29.9047486960594,53.90845635240069,63.12730933707349,9.900398771687986,Manual,271.4685566583987,0.6029027559945865,0.1866441337026614,Urea,Occasional,Healthy
32,Central India,Cotton,24.28566766102921,6.398753950708507,28.73395566878936,41.273157349319554,56.755333152235615,7.1460232630412,Manual,277.5249658953962,0.6084584459298193,0.1391265824062107,Urea,Occasional,Healthy
33,West India,Maize,36.57117431377549,6.753695125767023,25.43628295837061,106.06758324156056,73.92811604931589,8.25806567952234,Sprinkler,351.5340258540595,0.7193747158864435,0.3092033087485806,Compost,Yes,Healthy
34,South India,Wheat,48.01273047265195,7.418055776394456,24.307279763207923,111.43033779199509,77.40326254221003,8.730580925442215,Drip,374.3350199015465,0.7412465110271149,0.2868471597855663,NPK,Yes,Healthy
35,North India,Wheat,44.58599400772408,6.861870693528125,22.6634575685601,101.9281182983189,53.87963143078869,8.102946480432996,Drip,369.10828249239074,0.7239223402980496,0.3104646299454225,NPK,Yes,Diseased
36,West India,Rice,77.64498532426832,5.827006493998391,30.85291471383617,179.72246506897343,72.28203824778412,10.742373795506865,Flood,418.3853519491092,0.7927831506756263,0.4668325530963516,Organic,No,Diseased
37,West India,Wheat,44.54668975132571,7.637028581154896,22.496718731476044,107.45713791961616,86.52343584775245,7.380542622555873,Drip,367.79625655966737,0.7734341005139918,0.2844578747836849,NPK,Yes,Healthy
38,East India,Cotton,23.11986888470356,7.455422927612435,28.326479900967023,36.609475363357376,51.81143635713931,10.370992779660895,Manual,292.34643011385094,0.5725873879112992,0.1393655782035604,Urea,Occasional,Healthy
39,North India,Wheat,43.259193231040896,6.133625813974843,23.154361831961715,128.96339246044968,59.3647245120457,9.53323983446533,Drip,383.4613168745591,0.7647500079661491,0.3180778319956731,NPK,Yes,Healthy
40,Central India,Sugarcane,76.97798517435506,7.331314667581632,31.578219665479576,207.7018731562187,67.85678975318174,9.651304317585028,Flood,458.1303962460969,0.8745942555303845,0.4905348466165769,NPK,Yes,Diseased
41,Central India,Cotton,19.320407618083287,6.540840830060714,29.4636136755976,54.06716587321437,54.0067302015018,10.741253765593092,Manual,270.1450968432026,0.585172224401587,0.1501000440541294,Urea,Occasional,Healthy
42,South India,Sugarcane,66.89489294915167,6.26897740872229,32.91009385776001,226.21483154774705,63.10062281415284,9.299996920986278,Flood,449.48916454178624,0.8978482125349408,0.4941263701046006,NPK,Yes,Diseased
43,North India,Wheat,44.26953119334716,6.391641872172244,23.18876716853715,116.0396255234729,86.08136714087182,7.969796119515137,Drip,376.8670090919536,0.7266930708694269,0.3085117561385427,NPK,Yes,Healthy
44,West India,Sugarcane,62.76250154402775,5.836105051811435,31.59807360212136,203.66685772694623,83.09691612149057,9.485857350383052,Flood,438.18118068998166,0.8551108966548673,0.5361926895810162,NPK,Yes,Diseased
45,West India,Rice,67.79058592562556,7.686311668108855,30.10765348812575,192.92587247407792,81.06830671633944,8.12889693236204,Flood,418.0843540156709,0.8548710354201325,0.4608108873890086,Organic,No,Diseased
